Genome,Accession,RefSeq type,Source information,Number of segments,Genome length,Number of proteins,Genome Neighbors,Host,Date completed,Date updated,realm,Filename
Cassava common mosaic virus,NC_001658,complete,-,-,6376,5,8,land plants,04/15/1995,08/13/2018,Riboviria,Cassava_common_mosaic_virus
Cassava vein mosaic virus,NC_001648,complete,-,-,8159,5,1,land plants,07/02/1996,08/13/2018,Riboviria,Cassava_vein_mosaic_virus
Cassava virus X,NC_034375,complete,isolate:Ven164,-,5879,4,-,land plants,04/21/2017,08/13/2018,Riboviria,Cassava_virus_X
Catharanthus mosaic virus,NC_027210,complete,isolate:Mandevilla-US,-,9575,1,4,land plants,06/15/2015,08/13/2018,Riboviria,Catharanthus_mosaic_virus
Caucasus prunus virus,NC_038325,complete,isolate:Aze204,-,8255,4,-,land plants,08/24/2018,08/24/2018,Riboviria,Caucasus_prunus_virus
Cauliflower mosaic virus,NC_001497,complete,-,-,8024,7,123,land plants,11/03/1982,08/13/2018,Riboviria,Cauliflower_mosaic_virus
Celery latent virus,NC_055507,complete,isolate:Ag097,-,11519,1,-,land plants,06/01/2021,06/07/2021,Riboviria,Celery_latent_virus
Celery mosaic virus,NC_015393,complete,isolate:California,-,9999,2,3,land plants,04/25/2011,08/13/2018,Riboviria,Celery_mosaic_virus
Cereal yellow dwarf virus RPS,NC_002198,complete,-,-,5662,7,3,land plants,04/12/2000,08/13/2018,Riboviria,Cereal_yellow_dwarf_virus_RPS
Cereal yellow dwarf virus RPV,NC_004751,complete,isolate:NY,-,5723,7,7,land plants,04/28/2003,08/13/2018,Riboviria,Cereal_yellow_dwarf_virus_RPV
Cestrum yellow leaf curling virus,NC_004324,complete,-,-,8253,7,-,land plants,10/04/2002,08/13/2018,Riboviria,Cestrum_yellow_leaf_curling_virus
Chayote mosaic virus,NC_002588,complete,-,-,6364,3,-,land plants,11/21/1999,08/13/2018,Riboviria,Chayote_mosaic_virus
Chenopodium quinoa mitovirus 1,NC_040543,complete,isolate:Che1,-,2730,1,-,land plants,02/12/2019,09/12/2019,Riboviria,Chenopodium_quinoa_mitovirus_1
Cherry green ring mottle virus,NC_001946,complete,-,-,8372,3,41,land plants,09/14/1998,08/13/2018,Riboviria,Cherry_green_ring_mottle_virus
Cherry leaf scorch small circular viroid-like RNA 1,NC_022893,complete,isolate:es.10,-,412,-,3,land plants,11/26/2013,08/13/2018,Riboviria,Cherry_leaf_scorch_small_circular_viroid-like_RNA_1
Cherry mottle leaf virus,NC_002500,complete,strain:SA1162-21,-,8018,4,5,land plants,07/20/2000,08/13/2018,Riboviria,Cherry_mottle_leaf_virus
Cherry necrotic rusty mottle virus,NC_002468,complete,-,-,8432,7,24,land plants,06/22/2000,08/13/2018,Riboviria,Cherry_necrotic_rusty_mottle_virus
Cherry rusty mottle associated virus,NC_020996,complete,isolate:95CI192R3,-,8397,7,14,land plants,04/15/2013,08/13/2018,Riboviria,Cherry_rusty_mottle_associated_virus
Cherry small circular viroid-like RNA 1,NC_028271,complete,isolate:cscRNA1.84,-,415,-,13,land plants,11/05/2015,08/13/2018,Riboviria,Cherry_small_circular_viroid-like_RNA_1
Cherry twisted leaf associated virus,NC_024449,complete,isolate:CTLV_8431,-,8431,7,7,land plants,06/25/2014,08/13/2018,Riboviria,Cherry_twisted_leaf_associated_virus
Cherry virus A,NC_003689,complete,-,-,7383,2,122,land plants,10/03/1995,08/13/2018,Riboviria,Cherry_virus_A
Cherry virus Trakiya,NC_040561,complete,isolate:PAI 2-29,-,8620,2,1,land plants,02/12/2019,09/12/2019,Riboviria,Cherry_virus_Trakiya
Cherry-associated luteovirus,NC_031800,complete,isolate:Prunus 43,-,5857,8,3,land plants,11/14/2016,08/13/2018,Riboviria,Cherry-associated_luteovirus
Chickpea chlorotic stunt virus,NC_008249,complete,isolate:Et-fb-am1,-,5900,7,-,land plants,07/24/2006,08/13/2018,Riboviria,Chickpea_chlorotic_stunt_virus
Chilli ringspot virus,NC_016044,complete,isolate:ChiRSV-HN/14,-,9595,2,4,land plants,10/05/2011,08/13/2018,Riboviria,Chilli_ringspot_virus
Chilli veinal mottle virus,NC_005778,complete,-,-,9711,2,20,land plants,05/20/1999,08/13/2018,Riboviria,Chilli_veinal_mottle_virus
Chinese artichoke mosaic virus,NC_043144,incomplete,-,-,1675,1,-,land plants,06/28/2019,06/28/2019,Riboviria,Chinese_artichoke_mosaic_virus
Chinese yam necrotic mosaic virus,NC_018455,complete,isolate:PES3,-,8224,1,5,land plants,08/21/2012,08/13/2018,Riboviria,Chinese_yam_necrotic_mosaic_virus
Chrysanthemum virus B,NC_009087,complete,isolate:Punjab,-,8855,6,11,land plants,02/27/2007,08/13/2018,Riboviria,Chrysanthemum_virus_B
Chrysanthemum virus R,NC_040703,complete,strain:BJ,-,8890,6,6,land plants,02/12/2019,09/12/2019,Riboviria,Chrysanthemum_virus_R
Citrus leaf blotch virus,NC_003877,complete,isolate:SRA-153,-,8747,3,25,land plants,05/25/2001,08/13/2018,Riboviria,Citrus_leaf_blotch_virus
Citrus sudden death-associated virus,NC_006950,complete,-,-,6820,3,4,land plants,04/07/2005,08/13/2018,Riboviria,Citrus_sudden_death-associated_virus
Citrus tristeza virus,NC_001661,complete,-,-,19296,11,89,land plants,05/16/1995,08/13/2018,Riboviria,Citrus_tristeza_virus
Citrus vein enation virus,NC_021564,complete,isolate:VE-1,-,5983,5,24,land plants,06/18/2013,08/13/2018,Riboviria,Citrus_vein_enation_virus
Citrus yellow mosaic virus,NC_003382,complete,-,-,7559,6,9,land plants,10/25/2001,08/13/2018,Riboviria,Citrus_yellow_mosaic_virus
Citrus yellow vein clearing virus,NC_026592,complete,isolate:CQ,-,7531,6,50,land plants,03/04/2015,08/13/2018,Riboviria,Citrus_yellow_vein_clearing_virus
Clematis chlorotic mottle virus,NC_033777,complete,-,-,3880,5,1,land plants,02/21/2017,08/13/2018,Riboviria,Clematis_chlorotic_mottle_virus
Clitoria virus Y,NC_043145,incomplete,-,-,1720,1,-,land plants,06/28/2019,06/28/2019,Riboviria,Clitoria_virus_Y
Clitoria yellow mottle virus,NC_016519,complete,isolate:Larrimah,-,6514,4,-,land plants,12/30/2011,08/13/2018,Riboviria,Clitoria_yellow_mottle_virus
Clover yellow mosaic virus,NC_001753,complete,-,-,7015,5,2,land plants,03/25/1994,08/13/2018,Riboviria,Clover_yellow_mosaic_virus
Clover yellow vein virus,NC_003536,complete,strain:No.30,-,9584,2,16,land plants,03/14/1998,08/13/2018,Riboviria,Clover_yellow_vein_virus
Cluster bean endornavirus 1,NC_040825,complete,isolate:593049,-,12895,1,-,land plants,02/12/2019,09/12/2019,Riboviria,Cluster_bean_endornavirus_1
Cnidium virus X,NC_055546,complete,-,-,5964,5,2,land plants,06/01/2021,06/07/2021,Riboviria,Cnidium_virus_X
Coccinia mottle virus,NC_030840,complete,isolate:Su12-25,-,9778,1,-,land plants,08/29/2016,08/13/2018,Riboviria,Coccinia_mottle_virus
Cocksfoot mild mosaic virus,NC_011108,complete,isolate:Scotland,-,4198,6,1,land plants,08/04/2008,08/13/2018,Riboviria,Cocksfoot_mild_mosaic_virus
Cocksfoot mottle virus,NC_002618,complete,-,-,4082,5,4,land plants,06/29/1995,08/13/2018,Riboviria,Cocksfoot_mottle_virus
Cole latent virus,NC_038322,incomplete,-,-,1040,2,1,land plants,08/24/2018,08/24/2018,Riboviria,Cole_latent_virus
Coleus vein necrosis virus,NC_009764,complete,-,-,8727,6,-,land plants,08/30/2007,08/13/2018,Riboviria,Coleus_vein_necrosis_virus
Colocasia bobone disease-associated virus,NC_034551,complete,strain:SI,-,12193,6,2,land plants,05/15/2017,08/25/2018,Riboviria,Colocasia_bobone_disease-associated_virus
Colombian datura virus,NC_020072,complete,-,-,9621,1,2,land plants,01/04/2013,08/13/2018,Riboviria,Colombian_datura_virus
Commelina yellow mottle virus,NC_001343,complete,-,-,7489,3,-,land plants,10/05/1990,08/13/2018,Riboviria,Commelina_yellow_mottle_virus
Cordyline virus 1,NC_038421,complete,isolate:Kahaluu-1,-,16883,10,1,land plants,08/24/2018,08/24/2018,Riboviria,Cordyline_virus_1
Cordyline virus 2,NC_043453,incomplete,isolate:SJ1,-,15107,10,-,land plants,06/28/2019,06/28/2019,Riboviria,Cordyline_virus_2
Cordyline virus 3,NC_043107,incomplete,isolate:SJ1,-,16274,10,-,land plants,06/28/2019,06/28/2019,Riboviria,Cordyline_virus_3
Cordyline virus 4,NC_043108,incomplete,isolate:SJ1,-,14619,10,-,land plants,06/28/2019,06/28/2019,Riboviria,Cordyline_virus_4
Costus stripe mosaic virus,NC_055568,complete,isolate:BR1,-,9446,2,-,land plants,06/01/2021,06/08/2021,Riboviria,Costus_stripe_mosaic_virus
Cotton leafroll dwarf virus,NC_014545,complete,isolate:ARG,-,5866,7,25,land plants,10/04/2010,08/13/2018,Riboviria,Cotton_leafroll_dwarf_virus
Cowpea aphid-borne mosaic virus,NC_004013,complete,isolate:CABMV-Z,-,9465,2,9,land plants,03/02/2002,08/13/2018,Riboviria,Cowpea_aphid-borne_mosaic_virus
Cowpea mild mottle virus,NC_014730,complete,isolate:Ghana,-,8127,6,28,land plants,12/01/2010,08/13/2018,Riboviria,Cowpea_mild_mottle_virus
Cowpea mottle virus,NC_003535,complete,-,-,4029,6,-,land plants,07/01/1995,08/13/2018,Riboviria,Cowpea_mottle_virus
Cowpea polerovirus 1,NC_034246,complete,isolate:BE167,-,5845,7,1,land plants,04/05/2017,08/13/2018,Riboviria,Cowpea_polerovirus_1
Cowpea polerovirus 2,NC_034247,complete,isolate:BE179,-,5945,7,-,land plants,04/05/2017,08/13/2018,Riboviria,Cowpea_polerovirus_2
Cucumber Bulgarian latent virus,NC_004725,complete,-,-,4576,5,2,land plants,04/17/2003,08/13/2018,Riboviria,Cucumber_Bulgarian_latent_virus
Cucumber fruit mottle mosaic virus,NC_002633,complete,-,-,6562,3,2,land plants,12/28/2000,08/13/2018,Riboviria,Cucumber_fruit_mottle_mosaic_virus
Cucumber green mottle mosaic virus,NC_001801,complete,strain:SH,-,6424,4,135,land plants,04/29/1993,08/13/2018,Riboviria,Cucumber_green_mottle_mosaic_virus
Cucumber leaf spot virus,NC_007816,complete,-,-,4431,5,2,land plants,03/16/2006,08/13/2018,Riboviria,Cucumber_leaf_spot_virus
Cucumber necrosis virus,NC_001469,complete,-,-,4701,5,-,land plants,08/02/1993,08/13/2018,Riboviria,Cucumber_necrosis_virus
Cucumber vein yellowing virus,NC_006941,complete,strain:ALM32,-,9751,2,16,land plants,04/07/2005,08/13/2018,Riboviria,Cucumber_vein_yellowing_virus
Cucumber vein-clearing virus,NC_043081,incomplete,isolate:PV-0985,-,5218,6,-,land plants,06/28/2019,06/28/2019,Riboviria,Cucumber_vein-clearing_virus
Cucumis melo alphaendornavirus,NC_029064,complete,isolate:CL-01,-,15078,1,4,land plants,02/05/2016,08/13/2018,Riboviria,Cucumis_melo_alphaendornavirus
Cucurbit aphid borne yellows virus associated RNA,NC_026508,complete,-,-,2934,2,-,"invertebrates, land plants",02/26/2015,08/13/2018,Riboviria,Cucurbit_aphid_borne_yellows_virus_associated_RNA
Cucurbit aphid-borne yellows virus,NC_003688,complete,isolate:N,-,5669,7,78,land plants,01/13/1994,08/13/2018,Riboviria,Cucurbit_aphid-borne_yellows_virus
Cucurbit vein banding virus,NC_035134,complete,isolate:3.1,-,9969,2,1,land plants,06/27/2017,08/13/2018,Riboviria,Cucurbit_vein_banding_virus
Currant virus A,NC_029301,complete,-,-,7925,2,-,land plants,02/22/2016,08/13/2018,Riboviria,Currant_virus_A
Cycad leaf necrosis virus,NC_011097,complete,-,-,9227,3,-,land plants,07/31/2008,10/18/2022,Riboviria,Cycad_leaf_necrosis_virus
Cymbidium chlorotic mosaic virus,NC_027123,complete,isolate:Cym92-20,-,4083,4,2,land plants,06/02/2015,08/13/2018,Riboviria,Cymbidium_chlorotic_mosaic_virus
Cymbidium mosaic virus,NC_001812,complete,-,-,6227,5,20,land plants,05/19/1997,08/13/2018,Riboviria,Cymbidium_mosaic_virus
Cymbidium ringspot virus,NC_003532,complete,-,-,4733,5,1,land plants,11/23/1989,08/13/2018,Riboviria,Cymbidium_ringspot_virus
Cypripedium virus Y,NC_043146,incomplete,isolate:CP,-,1642,1,-,land plants,06/28/2019,06/28/2019,Riboviria,Cypripedium_virus_Y
Cyrtanthus elatus virus A,NC_017977,complete,isolate:Marijiniup 7,-,9908,2,1,land plants,05/29/2012,08/13/2018,Riboviria,Cyrtanthus_elatus_virus_A
Cytorhabdovirus caricae,NC_055504,complete,isolate:Los Rios_Ec,-,13469,8,2,land plants,06/01/2021,06/07/2021,Riboviria,Cytorhabdovirus_caricae
Cytorhabdovirus fragariae,NC_055567,complete,isolate:B,-,14028,9,2,land plants,06/01/2021,06/08/2021,Riboviria,Cytorhabdovirus_fragariae
Cytorhabdovirus gramineae,NC_002251,complete,-,-,13222,9,1,land plants,05/03/2000,08/13/2018,Riboviria,Cytorhabdovirus_gramineae
Cytorhabdovirus hordei,NC_028244,complete,strain:Hebei,-,12706,10,1,land plants,11/03/2015,08/13/2018,Riboviria,Cytorhabdovirus_hordei
Dahlia mosaic virus,NC_018616,complete,-,-,7916,8,1,land plants,09/20/2012,08/13/2018,Riboviria,Dahlia_mosaic_virus
Daphne mosaic virus,NC_008028,complete,-,-,9548,2,-,land plants,05/16/2006,08/13/2018,Riboviria,Daphne_mosaic_virus
Daphne virus S,NC_008020,complete,strain:type strain: K,-,8739,6,1,land plants,02/01/2005,08/13/2018,Riboviria,Daphne_virus_S
Daphne virus Y,NC_038984,complete,isolate:SK,-,9448,1,-,land plants,08/24/2018,08/24/2018,Riboviria,Daphne_virus_Y
Dasheen mosaic virus,NC_003537,complete,isolate:M13,-,10038,2,18,land plants,10/10/2001,08/13/2018,Riboviria,Dasheen_mosaic_virus
Datura yellow vein nucleorhabdovirus,NC_028231,complete,-,-,13188,6,-,land plants,11/03/2015,08/13/2018,Riboviria,Datura_yellow_vein_nucleorhabdovirus
Dendrobium chlorotic mosaic virus,NC_055520,complete,isolate:98-De-31,-,10041,1,-,land plants,06/01/2021,06/07/2021,Riboviria,Dendrobium_chlorotic_mosaic_virus
Diascia yellow mottle virus,NC_011086,complete,strain:OR,-,6290,3,1,land plants,07/26/2008,08/13/2018,Riboviria,Diascia_yellow_mottle_virus
Dioscorea bacilliform AL virus,NC_038381,complete,isolate:DBALV-[3RT],-,7609,3,13,land plants,08/24/2018,08/24/2018,Riboviria,Dioscorea_bacilliform_AL_virus
Dioscorea bacilliform RT virus 1,NC_038986,complete,isolate:DBRTV1,-,7702,3,-,land plants,08/24/2018,08/24/2018,Riboviria,Dioscorea_bacilliform_RT_virus_1
Dioscorea bacilliform RT virus 2,NC_038987,complete,isolate:DBRTV2,-,7438,3,1,land plants,08/24/2018,08/24/2018,Riboviria,Dioscorea_bacilliform_RT_virus_2
Dioscorea bacilliform TR virus,NC_038995,complete,strain:DBV9; isolate:CRB496,-,7333,3,-,land plants,08/24/2018,08/24/2018,Riboviria,Dioscorea_bacilliform_TR_virus
Dioscorea bacilliform virus,NC_009010,complete,-,-,7261,3,7,land plants,02/16/2007,08/13/2018,Riboviria,Dioscorea_bacilliform_virus
Dioscorea mosaic virus,NC_055506,complete,isolate:DMV-FL,-,9550,1,-,land plants,06/01/2021,06/07/2021,Riboviria,Dioscorea_mosaic_virus
Dioscorea nummularia-associated virus,NC_040712,complete,isolate:DNUaV-WSM01_DN,-,8139,4,-,land plants,02/12/2019,09/12/2019,Riboviria,Dioscorea_nummularia-associated_virus
Diuris virus A,NC_019029,complete,isolate:SW3.3,-,6956,2,-,land plants,10/31/2012,08/13/2018,Riboviria,Diuris_virus_A
Diuris virus B,NC_019030,complete,isolate:SW3.3,-,7001,2,-,land plants,10/31/2012,08/13/2018,Riboviria,Diuris_virus_B
Diuris virus Y,NC_043147,incomplete,-,-,1719,1,-,land plants,06/28/2019,06/28/2019,Riboviria,Diuris_virus_Y
Donkey orchid symptomless virus,NC_022894,complete,isolate:Mariginiup11,-,7838,6,1,land plants,11/26/2013,08/13/2018,Riboviria,Donkey_orchid_symptomless_virus
Donkey orchid virus A,NC_021197,complete,isolate:SW3.1,-,9868,1,-,land plants,05/10/2013,08/13/2018,Riboviria,Donkey_orchid_virus_A
Dracaena mottle virus,NC_008034,complete,-,-,7531,7,1,land plants,05/16/2006,08/13/2018,Riboviria,Dracaena_mottle_virus
East Asian Passiflora distortion virus,NC_055483,complete,isolate:PY-AK,-,9974,1,-,land plants,06/01/2021,06/08/2021,Riboviria,East_Asian_Passiflora_distortion_virus
East Asian Passiflora virus,NC_007728,complete,strain:AO; isolate:AO,-,10046,2,16,land plants,01/24/2006,08/13/2018,Riboviria,East_Asian_Passiflora_virus
Eggplant mosaic virus,NC_001480,complete,-,-,6331,3,1,land plants,08/02/1993,08/13/2018,Riboviria,Eggplant_mosaic_virus
Eggplant mottled crinkle virus,NC_023339,complete,isolate:Israeli,-,4767,5,1,land plants,01/23/2014,08/13/2018,Riboviria,Eggplant_mottled_crinkle_virus
Eggplant mottled dwarf virus,NC_025389,complete,isolate:Agapanthus,-,13100,7,2,land plants,10/31/2014,08/13/2018,Riboviria,Eggplant_mottled_dwarf_virus
Elderberry aureusvirus 1,NC_040713,complete,isolate:B17,-,1134,1,-,land plants,02/12/2019,09/12/2019,Riboviria,Elderberry_aureusvirus_1
Elderberry carlavirus A,NC_029085,complete,isolate:EBCVA,-,8628,6,-,land plants,02/05/2016,08/13/2018,Riboviria,Elderberry_carlavirus_A
Elderberry carlavirus B,NC_029086,complete,isolate:EBCVB,-,8607,6,-,land plants,02/05/2016,08/13/2018,Riboviria,Elderberry_carlavirus_B
Elderberry carlavirus C,NC_029087,complete,isolate:EBCVC,-,8613,6,-,land plants,02/05/2016,08/13/2018,Riboviria,Elderberry_carlavirus_C
Elderberry carlavirus D,NC_029088,complete,isolate:EBCVD,-,8612,6,-,land plants,02/05/2016,08/13/2018,Riboviria,Elderberry_carlavirus_D
Elderberry carlavirus E,NC_029089,complete,isolate:EBCVE,-,8540,6,-,land plants,02/05/2016,08/13/2018,Riboviria,Elderberry_carlavirus_E
Elderberry latent virus,NC_026239,complete,isolate:ELV; culture-collection:ATCC:PV522,-,3892,5,-,land plants,01/23/2015,08/13/2018,Riboviria,Elderberry_latent_virus
Endive necrotic mosaic virus,NC_034273,complete,strain:ENMV-FR,-,10000,1,-,land plants,04/17/2017,06/29/2022,Riboviria,Endive_necrotic_mosaic_virus
Erysimum latent virus,NC_001977,complete,-,-,6035,3,-,land plants,11/19/1998,08/13/2018,Riboviria,Erysimum_latent_virus
Ethiopian tobacco bushy top virus,NC_024808,complete,isolate:18-2; culture-collection:DSMZ:PV-1033,-,4236,4,4,land plants,09/11/2014,08/13/2018,Riboviria,Ethiopian_tobacco_bushy_top_virus
Euonymus yellow mottle associated virus,NC_055574,complete,isolate:EuYMaV-BLA,-,6784,5,-,land plants,06/01/2021,06/08/2021,Riboviria,Euonymus_yellow_mottle_associated_virus
Euonymus yellow vein virus,NC_035190,complete,isolate:LNsyA,-,7279,5,-,land plants,07/14/2017,08/13/2018,Riboviria,Euonymus_yellow_vein_virus
Euphorbia ringspot virus,NC_031339,complete,isolate:PV-0902,-,10154,2,-,land plants,10/13/2016,08/13/2018,Riboviria,Euphorbia_ringspot_virus
Faba bean polerovirus 1,NC_055495,complete,strain:5253,-,5631,6,1,land plants,06/01/2021,06/07/2021,Riboviria,Faba_bean_polerovirus_1
Fig badnavirus 1,NC_017830,complete,isolate:Arkansas 1,-,7140,3,7,land plants,05/04/2012,08/13/2018,Riboviria,Fig_badnavirus_1
Fig fleck-associated virus,NC_015229,complete,-,-,6704,2,-,land plants,07/21/2010,08/13/2018,Riboviria,Fig_fleck-associated_virus
Figwort mosaic virus,NC_003554,complete,-,-,7743,7,-,land plants,08/19/1988,08/13/2018,Riboviria,Figwort_mosaic_virus
Foxtail mosaic virus,NC_001483,complete,-,-,6151,5,4,land plants,08/02/1993,08/13/2018,Riboviria,Foxtail_mosaic_virus
Frangipani mosaic virus,NC_014546,complete,isolate:FrMV-P,-,6643,4,1,land plants,10/04/2010,08/13/2018,Riboviria,Frangipani_mosaic_virus
Freesia mosaic virus,NC_014064,complete,-,-,9489,2,2,land plants,01/07/2010,08/13/2018,Riboviria,Freesia_mosaic_virus
Fritillary virus Y,NC_010954,complete,isolate:Pan'an,-,9656,2,-,land plants,03/08/2006,08/13/2018,Riboviria,Fritillary_virus_Y
Furcraea necrotic streak virus,NC_020469,complete,isolate:Cauca,-,3966,5,-,land plants,03/08/2013,08/13/2018,Riboviria,Furcraea_necrotic_streak_virus
Gaillardia latent virus,NC_023892,complete,isolate:5/18-05-2010; culture-collection:DSM:PV-0989,-,8659,6,1,land plants,04/07/2014,08/13/2018,Riboviria,Gaillardia_latent_virus
Garlic common latent virus,NC_016440,complete,isolate:WA-1,-,8638,6,41,land plants,12/13/2011,08/13/2018,Riboviria,Garlic_common_latent_virus
Garlic latent virus,NC_003557,complete,isolate:YH1,-,8363,6,80,land plants,02/06/2002,08/13/2018,Riboviria,Garlic_latent_virus
Garlic mite-borne filamentous virus,NC_038864,incomplete,-,-,762,1,-,land plants,06/28/1997,08/24/2018,Riboviria,Garlic_mite-borne_filamentous_virus
Garlic virus A,NC_003375,complete,-,-,8660,6,80,land plants,01/30/1998,08/13/2018,Riboviria,Garlic_virus_A
Garlic virus B,NC_025789,complete,isolate:Mesi 13,-,8336,6,37,land plants,12/01/2014,08/13/2018,Riboviria,Garlic_virus_B
Garlic virus C,NC_003376,complete,-,-,8405,6,13,land plants,01/30/1998,08/13/2018,Riboviria,Garlic_virus_C
Garlic virus D,NC_022961,complete,isolate:GarVD-SW10,-,8424,6,67,land plants,11/29/2013,08/13/2018,Riboviria,Garlic_virus_D
Garlic virus E,NC_004012,complete,isolate:YH,-,8451,8,3,land plants,02/06/2002,08/13/2018,Riboviria,Garlic_virus_E
Garlic virus X,NC_001800,complete,isolate:Korea,-,8106,6,43,land plants,03/14/1997,08/13/2018,Riboviria,Garlic_virus_X
Gentian Kobu-sho-associated virus,NC_020252,complete,isolate:Ohasama,-,22786,1,1,land plants,02/11/2013,08/13/2018,Riboviria,Gentian_Kobu-sho-associated_virus
Gloriosa stripe mosaic virus,NC_038562,complete,isolate:CB,-,9455,1,-,land plants,08/24/2018,08/24/2018,Riboviria,Gloriosa_stripe_mosaic_virus
Gomphocarpus mosaic virus,NC_055470,complete,-,-,9998,2,-,land plants,06/01/2021,06/07/2021,Riboviria,Gomphocarpus_mosaic_virus
Gompholobium virus A,NC_030742,complete,isolate:Monadnocks,-,3935,5,-,land plants,08/16/2016,08/13/2018,Riboviria,Gompholobium_virus_A
Gooseberry vein banding associated virus,NC_018105,complete,isolate:RC HC,-,7659,3,7,land plants,07/10/2012,08/13/2018,Riboviria,Gooseberry_vein_banding_associated_virus
Grapevine Algerian latent virus,NC_011535,complete,strain:nipplefruit,-,4731,5,1,land plants,11/12/2008,08/13/2018,Riboviria,Grapevine_Algerian_latent_virus
Grapevine Pinot gris virus,NC_015782,complete,-,-,7259,3,94,land plants,07/04/2011,01/18/2019,Riboviria,Grapevine_Pinot_gris_virus
Grapevine Red Globe virus,NC_030693,complete,isolate:Graciano-T101,-,6863,2,15,land plants,08/01/2016,08/13/2018,Riboviria,Grapevine_Red_Globe_virus
Grapevine Roditis leaf discoloration-associated virus,NC_027131,complete,isolate:w4,-,6988,4,2,land plants,05/28/2015,08/13/2018,Riboviria,Grapevine_Roditis_leaf_discoloration-associated_virus
Grapevine Syrah virus 1,NC_012484,complete,-,-,6506,2,7,land plants,03/31/2009,08/13/2018,Riboviria,Grapevine_Syrah_virus_1
Grapevine associated tymo-like virus,NC_040837,complete,-,-,6060,2,3,land plants,02/12/2019,09/12/2019,Riboviria,Grapevine_associated_tymo-like_virus
Grapevine asteroid mosaic associated virus,NC_031692,complete,isolate:GV30,-,6719,3,4,land plants,10/28/2016,08/13/2018,Riboviria,Grapevine_asteroid_mosaic_associated_virus
Grapevine badnavirus 1,NC_055481,complete,isolate:VLJ-178.Gb1,-,7145,3,-,land plants,06/01/2021,06/07/2021,Riboviria,Grapevine_badnavirus_1
Grapevine berry inner necrosis virus,NC_015220,complete,-,-,7241,3,73,land plants,03/11/2011,08/13/2018,Riboviria,Grapevine_berry_inner_necrosis_virus
Grapevine enamovirus 1,NC_034836,complete,isolate:SE-BR,-,6176,5,-,land plants,06/05/2017,08/13/2018,Riboviria,Grapevine_enamovirus_1
Grapevine fleck virus,NC_003347,complete,isolate:MT48,-,7564,4,-,land plants,01/04/2002,08/13/2018,Riboviria,Grapevine_fleck_virus
Grapevine leafroll-associated virus 1,NC_016509,complete,isolate:1050,-,18659,10,7,land plants,01/01/2012,08/13/2018,Riboviria,Grapevine_leafroll-associated_virus_1
Grapevine leafroll-associated virus 10,NC_011702,complete,isolate:Grapevine,-,13696,7,-,land plants,06/24/2008,08/13/2018,Riboviria,Grapevine_leafroll-associated_virus_10
Grapevine leafroll-associated virus 13,NC_029783,complete,isolate:a177,-,17608,12,-,land plants,03/30/2016,08/13/2018,Riboviria,Grapevine_leafroll-associated_virus_13
Grapevine leafroll-associated virus 2,NC_007448,complete,isolate:93/955,-,16494,9,31,land plants,10/05/2005,08/13/2018,Riboviria,Grapevine_leafroll-associated_virus_2
Grapevine rootstock stem lesion associated virus,NC_004724,complete,-,-,16527,8,31,land plants,04/17/2003,08/13/2018,Riboviria,Grapevine_rootstock_stem_lesion_associated_virus
Grapevine leafroll-associated virus 3,NC_004667,complete,strain:NY1,-,17919,12,83,land plants,03/29/2003,08/13/2018,Riboviria,Grapevine_leafroll-associated_virus_3
Grapevine leafroll-associated virus 4,NC_016416,complete,isolate:LR106,-,13830,6,11,land plants,12/28/2011,08/13/2018,Riboviria,Grapevine_leafroll-associated_virus_4
Grapevine leafroll-associated virus 5,NC_016081,complete,strain:Y217,-,13384,7,11,land plants,10/10/2011,08/13/2018,Riboviria,Grapevine_leafroll-associated_virus_5
Grapevine leafroll-associated virus 6,NC_016417,complete,isolate:Estellat,-,13807,6,-,land plants,12/28/2011,08/13/2018,Riboviria,Grapevine_leafroll-associated_virus_6
Grapevine leafroll-associated virus 7,NC_016436,complete,isolate:AA42,-,16404,10,3,land plants,09/15/2011,08/13/2018,Riboviria,Grapevine_leafroll-associated_virus_7
Grapevine rupestris stem pitting-associated virus,NC_001948,complete,-,-,8744,5,300,land plants,09/14/1998,08/13/2018,Riboviria,Grapevine_rupestris_stem_pitting-associated_virus
Grapevine rupestris vein feathering virus,NC_034205,complete,isolate:Mauzac,-,6730,1,52,land plants,03/14/2017,08/25/2018,Riboviria,Grapevine_rupestris_vein_feathering_virus
Grapevine satellite virus,NC_021480,complete,isolate:AUD46129,-,1060,2,6,land plants,06/17/2013,08/13/2018,Riboviria,Grapevine_satellite_virus
Grapevine vein clearing virus,NC_015784,complete,isolate:LBC0903,-,7753,3,6,land plants,07/20/2011,08/13/2018,Riboviria,Grapevine_vein_clearing_virus
Grapevine virus A,NC_003604,complete,isolate:Is 151,-,7351,5,25,land plants,05/17/1994,08/13/2018,Riboviria,Grapevine_virus_A
Grapevine virus B,NC_003602,complete,-,-,7599,5,19,land plants,05/17/1994,08/13/2018,Riboviria,Grapevine_virus_B
Grapevine virus D,NC_038326,incomplete,isolate:Dolc,-,852,2,2,land plants,08/24/2018,08/24/2018,Riboviria,Grapevine_virus_D
Grapevine virus E,NC_011106,complete,strain:TvAQ7,-,7564,5,6,land plants,08/04/2008,08/13/2018,Riboviria,Grapevine_virus_E
Grapevine virus F,NC_018458,complete,isolate:AUD46129,-,7551,5,6,land plants,08/21/2012,08/13/2018,Riboviria,Grapevine_virus_F
